고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량,기준 식수량
마인드로직,월,17,베이직,5:5,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,118,140,20
마인드로직,화,8,베이직,5:5,IT,0,소고기데리야끼,일식,0.3,0.5,0.7,118,140,20
마인드로직,수,13,베이직,5:5,IT,4,팟타이,아시안,0.6,0.6,0.7,128,160,20
마인드로직,목,13,베이직,5:5,IT,6,스팸김치볶음밥,한식,0.6,0.5,0.5,183,200,20
마인드로직,금,18,베이직,5:5,IT,6,비빔파스타,한식,0.8,0.6,0.7,103,120,20
마인드로직,월,17,베이직,5:5,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,0.7,0.6,138,160,20
마인드로직,화,12,베이직,5:5,IT,7,육회비빔밥,한식,0.5,0.6,0.5,183,200,20
마인드로직,수,13,베이직,5:5,IT,5,매운갈비찜,한식,0.8,0.5,0.6,123,140,20
마인드로직,목,17,베이직,5:5,IT,2,감자 사라다 샌드위치,한식,0,0.2,0.6,193,210,20
마인드로직,금,17,베이직,5:5,IT,5,일본식소고기조림덮밥,일식,0,0.6,0.3,178,200,20
마인드로직,월,12,베이직,5:5,IT,6,데리야끼소고기조림,일식,0.3,0.6,0.7,118,140,20
마인드로직,화,14,베이직,5:5,IT,-1,가라아게덮밥,일식,0.2,0.6,0.3,173,200,20
마인드로직,수,15,베이직,5:5,IT,3,보쌈오겹살,한식,0,0.5,0.3,123,140,20
마인드로직,목,14,베이직,5:5,IT,9,통호밀 모짜 샌드위치,양식,0,0.2,0.6,183,210,20
마인드로직,금,5,베이직,5:5,IT,9,수제쉬림프버거,양식,0,0.5,0.6,173,200,20
마인드로직,월,13,베이직,5:5,IT,-1,해산물 그린커리,아시안,0.5,0.4,0.1,103,140,20
마인드로직,화,17,베이직,5:5,IT,-4,고추장소불고기,한식,0.6,0.7,0.6,118,140,20
마인드로직,수,17,베이직,5:5,IT,3,매운닭갈비,한식,0.8,0.5,0.6,143,160,20
마인드로직,목,6,베이직,5:5,IT,2,청양고추봄냉이소불고기,한식,0.9,0.4,0.5,123,140,20
마인드로직,금,14,베이직,5:5,IT,4,해산물 그린커리,아시안,0.5,0.4,0.1,108,140,20
마인드로직,월,18,베이직,5:5,IT,1,김치제육볶음,한식,0.5,0.6,0.4,123,140,20
마인드로직,화,17,베이직,5:5,IT,3,마늘치킨윙,한식,0.6,0.6,0.7,143,160,20
마인드로직,수,12,베이직,5:5,IT,5,어향새우가지,중식,0.5,0.7,0.3,118,140,20
마인드로직,목,13,베이직,5:5,IT,7,브로콜리소고기볶음,한식,0.2,0.4,0.4,123,140,20
마인드로직,금,17,베이직,5:5,IT,9,유린기,중식,0.4,0.7,0.4,128,150,20
마인드로직,월,15,베이직,5:5,IT,10,깍두기 볶음밥,한식,0.5,0.6,0.3,183,200,20
마인드로직,화,11,베이직,5:5,IT,12,수제쉬림프버거,양식,0,0.5,0.6,173,200,20
마인드로직,수,10,베이직,5:5,IT,12,돼지고기생강구이,한식,0,0.5,0.5,123,140,20
마인드로직,목,17,베이직,5:5,IT,12,에그롤 샌드위치,양식,0,0.3,0.6,183,210,20
마인드로직,금,17,베이직,5:5,IT,13,간장닭볶음탕,한식,0.3,0.7,0.5,143,160,20
마인드로직,월,11,베이직,5:5,IT,12,돼지목살김치찜,한식,0.6,0.7,0.4,123,140,20
마인드로직,화,11,베이직,5:5,IT,12,매운닭갈비,한식,0.8,0.5,0.6,143,160,20
마인드로직,수,15,베이직,5:5,IT,11,고르곤졸라 만조 파스타,양식,0.1,0.4,0.6,113,140,20
마인드로직,목,15,베이직,5:5,IT,9,트러플 페스토 파스타,양식,0.1,0.4,0.4,113,140,20
마인드로직,금,12,베이직,5:5,IT,8,연어포케,양식,0,0.3,0.3,93,120,20
마인드로직,월,10,베이직,5:5,IT,9,돼지고기짜장볶음,한식,0.2,0.6,0.6,123,140,20
마인드로직,화,18,베이직,5:5,IT,12,카다이프롤,양식,0.2,0.4,0.5,113,140,20
마인드로직,수,15,베이직,5:5,IT,15,돼지등갈비김치찜,한식,0.6,0.7,0.4,123,140,20
마인드로직,목,8,베이직,5:5,IT,15,허브버터로스트치킨,양식,0.2,0.4,0.3,133,160,20
마인드로직,금,13,베이직,5:5,IT,12,토마토 모짜렐라 크로와상,양식,0,0.2,0.5,113,140,20
마인드로직,월,18,베이직,5:5,IT,8,어향가지삼겹볶음,중식,0.4,0.6,0.3,118,140,20
마인드로직,화,18,베이직,5:5,IT,16,소고기소보로동,일식,0,0.4,0.5,118,140,20
마인드로직,수,12,베이직,5:5,IT,16,춘천닭갈비,한식,0.5,0.7,0.6,143,160,20
마인드로직,목,14,베이직,5:5,IT,13,돼지갈비간장조림,한식,0.3,0.6,0.6,123,140,20
마인드로직,금,14,베이직,5:5,IT,13,버섯 소불고기,한식,0.3,0.5,0.6,123,140,20
마인드로직,월,17,베이직,5:5,IT,12,토마토미트볼,양식,0.5,0.5,0.5,113,140,20
