client,dayofweek,temperature,menu,service_type,food_class,spicy,food_temperature_level,quantity,basic_quantity
NC문화재단,1,23,고추마요닭튀김,케이터링-레귤러,한식,0.6,1,15,25
NC문화재단,2,28,훈제오리두루치기,케이터링-레귤러,한식,0.6,1,15,25
NC문화재단,3,29,돼지고기김치찜,케이터링-레귤러,한식,0.5,2,15,25
NC문화재단,4,29,순살간장찜닭,케이터링-레귤러,한식,0.8,2,15,25
NC문화재단,1,30,고추장들깨돼지고기볶음,케이터링-레귤러,한식,0.5,1,15,25
NC문화재단,2,29,깐풍기,케이터링-레귤러,한식,0.5,1,15,25
NC문화재단,3,27,얼큰장터국밥,케이터링-레귤러,한식,0.8,2,15,25
NC문화재단,0,24,미소닭구이,케이터링-레귤러,한식,0.5,1,15,25
NC문화재단,1,25,김치제육볶음,케이터링-레귤러,한식,0.5,1,15,25
NC문화재단,2,22,오삼불고기,케이터링-레귤러,한식,0.6,1,15,25
NC문화재단,3,26,양념치킨,케이터링-레귤러,한식,0.2,1,15,25
NC문화재단,4,28,소고기숙주볶음,케이터링-레귤러,한식,0.1,1,15,25
NC문화재단,1,27,영양돼지갈비찜,케이터링-레귤러,한식,0.8,2,15,25
NC문화재단,2,21,간장오리훈제주물럭,케이터링-레귤러,한식,0.3,1,15,25
NC문화재단,3,22,시골된장찌개,케이터링-레귤러,한식,0.2,2,15,25
NC문화재단,4,21,부추닭도리탕,케이터링-레귤러,한식,0.7,2,15,25
NC문화재단,1,21,버섯소불고기,케이터링-레귤러,한식,0.3,1,17,25
NC문화재단,2,25,된장들깨돼지고기볶음,케이터링-레귤러,한식,0.3,1,15,25
NC문화재단,3,25,블랙알리오닭튀김,케이터링-레귤러,한식,0.2,1,15,25
NC문화재단,4,22,돼지고기생강구이,케이터링-레귤러,한식,0,1,15,25
NC문화재단,1,15,궁보계정,케이터링-레귤러,중식,0.4,1,16,25
NC문화재단,2,15,고추장오겹두루치기,케이터링-레귤러,한식,0.6,1,15,25
NC문화재단,3,15,갈비탕,케이터링-레귤러,한식,0.3,2,15,25
NC문화재단,4,17,유린기,케이터링-레귤러,중식,0.4,1,15,25
NC문화재단,1,19,동파육,케이터링-레귤러,중식,0.3,1,15,25
NC문화재단,2,18,오리훈제주물럭,케이터링-레귤러,한식,0.6,1,15,25
NC문화재단,3,19,김치닭도리탕,케이터링-레귤러,한식,0.6,2,15,25
NC문화재단,4,21,매운돼지갈비찜,케이터링-레귤러,한식,0.9,2,15,25
NC문화재단,1,16,영양돼지갈비찜,케이터링-레귤러,한식,0.8,2,21,25
NC문화재단,2,17,매콤숯불닭갈비,케이터링-레귤러,한식,0.8,1,21,25
NC문화재단,3,16,간장제육볶음,케이터링-레귤러,한식,0.3,1,16,25
NC문화재단,4,20,일본식소고기볶음,케이터링-레귤러,일식,0.1,1,15,25
NC문화재단,1,7,고추마요닭튀김,케이터링-레귤러,한식,0.6,1,15,25
NC문화재단,2,7,돼지고기김치찜,케이터링-레귤러,한식,0.5,2,16,25
NC문화재단,3,11,분짜,케이터링-레귤러,아시안,0.1,0,16,25
NC문화재단,4,9,고추장소불고기,케이터링-레귤러,한식,0.6,1,15,25
NC문화재단,1,14,김치오겹두루치기,케이터링-레귤러,한식,0.5,1,15,25
NC문화재단,2,13,들깨돈불고기,케이터링-레귤러,한식,0.7,1,15,25
NC문화재단,4,18,서울식불고기,케이터링-레귤러,한식,0.3,1,15,25
NC문화재단,0,5,미나리돈두루치기,케이터링-레귤러,한식,0,1,18,25
NC문화재단,1,3,간장마늘치킨,케이터링-레귤러,한식,0.3,1,24,25
NC문화재단,2,9,매콤소고기숙주볶음,케이터링-레귤러,한식,0.8,1,16,25
NC문화재단,3,11,소고기우거지해장국,케이터링-레귤러,한식,0.6,2,20,25
NC문화재단,4,8,시래기등갈비찜,케이터링-레귤러,한식,0.4,2,15,25
NC문화재단,1,10,깐풍기,케이터링-레귤러,한식,0.5,1,15,25
NC문화재단,2,2,김치제육볶음,케이터링-레귤러,한식,0.5,1,17,25
NC문화재단,3,7,순살간장찜닭,케이터링-레귤러,한식,0.8,2,17,25
NC문화재단,4,4,언양식바싹불고기,케이터링-레귤러,한식,0.1,1,15,25
NC문화재단,0,11,고추장들깨돼지고기볶음,케이터링-레귤러,한식,0.5,1,15,25
NC문화재단,1,12,유린기,케이터링-레귤러,중식,0.4,1,15,25
NC문화재단,2,12,마늘쫑오겹살볶음,케이터링-레귤러,한식,0.5,1,15,25
NC문화재단,3,11,매콤치즈닭갈비,케이터링-레귤러,한식,0.8,1,15,25
NC문화재단,4,9,돼지고기생강구이,케이터링-레귤러,한식,0,1,15,25
NC문화재단,0,2,안동찜닭,케이터링-레귤러,한식,0.8,2,16,25
NC문화재단,1,8,영양돼지갈비찜,케이터링-레귤러,한식,0.8,2,17,25
NC문화재단,2,11,알싸한마늘치킨,케이터링-레귤러,한식,0.8,1,15,25
NC문화재단,3,10,시골된장찌개,케이터링-레귤러,한식,0.2,2,16,25
NC문화재단,4,-2,소고기산적구이,케이터링-레귤러,한식,0.1,1,15,25
NC문화재단,0,11,들깨돼지볶음,케이터링-레귤러,한식,0.7,1,19,25
NC문화재단,1,9,매콤숯불닭갈비,케이터링-레귤러,한식,0.8,1,16,25
NC문화재단,2,8,블랙알리오닭튀김,케이터링-레귤러,한식,0.2,1,15,25
NC문화재단,3,8,간장오리훈제주물럭,케이터링-레귤러,한식,0.3,1,17,25
NC문화재단,0,-4,돼지고기김치찜,케이터링-레귤러,한식,0.5,2,15,25
NC문화재단,1,0,부추닭도리탕,케이터링-레귤러,한식,0.7,2,15,25
NC문화재단,2,7,고추장소불고기,케이터링-레귤러,한식,0.6,1,15,25
NC문화재단,3,-1,고추마요치킨,케이터링-레귤러,한식,0.6,1,15,25
S2W,0,31,김치제육볶음,케이터링-레귤러,한식,0.5,1,50,50
S2W,0,36,버섯떡갈비,케이터링-레귤러,한식,0.1,1,30,50
S2W,1,35,고추장오겹두루치기,케이터링-레귤러,한식,0.6,1,30,50
S2W,2,35,오븐닭구이,케이터링-레귤러,한식,0.6,1,30,50
S2W,4,35,소고기데리야끼볶음,케이터링-레귤러,일식,0.3,1,30,50
S2W,0,29,된장제육볶음,케이터링-레귤러,한식,0.3,1,30,50
S2W,1,33,고추장소고기볶음,케이터링-레귤러,한식,0.6,1,30,50
S2W,2,33,데리야끼치킨윙조림,케이터링-레귤러,한식,0.3,1,30,50
S2W,3,34,돼지고기김치찜,케이터링-레귤러,한식,0.5,2,30,50
S2W,4,32,시골된장찌개,케이터링-레귤러,한식,0.2,2,30,50
S2W,0,34,영양돼지갈비찜,케이터링-레귤러,한식,0.8,2,35,50
S2W,1,32,닭개장,케이터링-레귤러,한식,0.8,2,35,50
S2W,2,32,언양식바싹불고기,케이터링-레귤러,한식,0.1,1,35,50
S2W,3,31,삼겹살케일볶음,케이터링-레귤러,한식,0.3,1,35,50
S2W,4,31,춘천식닭갈비,케이터링-레귤러,한식,0.5,1,35,50
S2W,0,26,중화돼지고기볶음,케이터링-레귤러,중식,0.6,1,35,50
S2W,1,23,고추마요닭튀김,케이터링-레귤러,한식,0.6,1,35,50
S2W,2,28,훈제오리두루치기,케이터링-레귤러,한식,0.6,1,35,50
S2W,3,29,돼지고기김치찜,케이터링-레귤러,한식,0.5,2,35,50
S2W,4,29,순살간장찜닭,케이터링-레귤러,한식,0.8,2,35,50
S2W,0,30,춘천식 닭갈비,케이터링-레귤러,한식,0.5,1,35,50
S2W,1,30,고추장들깨돼지고기볶음,케이터링-레귤러,한식,0.5,1,35,50
S2W,2,29,깐풍기,케이터링-레귤러,한식,0.5,1,30,50
S2W,3,27,얼큰장터국밥,케이터링-레귤러,한식,0.8,2,30,50
S2W,3,28,제육볶음,케이터링-레귤러,한식,0.6,1,35,50
S2W,4,27,동파육,케이터링-레귤러,중식,0.3,1,35,50
S2W,0,24,미소닭구이,케이터링-레귤러,한식,0.5,1,35,50
S2W,1,25,김치제육볶음,케이터링-레귤러,한식,0.5,1,35,50
S2W,2,22,오삼불고기,케이터링-레귤러,한식,0.6,1,35,50
S2W,3,26,양념치킨,케이터링-레귤러,한식,0.2,1,35,50
S2W,4,28,소고기숙주볶음,케이터링-레귤러,한식,0.1,1,35,50
S2W,1,27,영양돼지갈비찜,케이터링-레귤러,한식,0.8,2,35,50
S2W,2,21,간장오리훈제주물럭,케이터링-레귤러,한식,0.3,1,35,50
S2W,3,22,시골된장찌개,케이터링-레귤러,한식,0.2,2,35,50
S2W,4,21,부추닭도리탕,케이터링-레귤러,한식,0.7,2,35,50
S2W,1,21,버섯소불고기,케이터링-레귤러,한식,0.3,1,35,50
S2W,2,25,된장들깨돼지고기볶음,케이터링-레귤러,한식,0.3,1,35,50
S2W,3,25,블랙알리오닭튀김,케이터링-레귤러,한식,0.2,1,35,50
S2W,4,22,돼지고기생강구이,케이터링-레귤러,한식,0,1,35,50
S2W,0,15,마늘쫑돼지고기볶음,케이터링-레귤러,한식,0.5,1,30,50
S2W,1,15,궁보계정,케이터링-레귤러,중식,0.4,1,35,50
S2W,2,15,고추장오겹두루치기,케이터링-레귤러,한식,0.6,1,35,50
S2W,3,15,갈비탕,케이터링-레귤러,한식,0.3,2,35,50
S2W,4,17,유린기,케이터링-레귤러,중식,0.4,1,35,50
S2W,0,18,안동찜닭,케이터링-레귤러,한식,0.8,2,35,50
S2W,1,19,동파육,케이터링-레귤러,중식,0.3,1,35,50
S2W,2,18,오리훈제주물럭,케이터링-레귤러,한식,0.6,1,35,50
S2W,3,19,김치닭도리탕,케이터링-레귤러,한식,0.6,2,35,50
S2W,4,21,매운돼지갈비찜,케이터링-레귤러,한식,0.9,2,35,50
S2W,0,17,알싸한마늘치킨,케이터링-레귤러,한식,0.3,1,35,50
S2W,1,16,영양돼지갈비찜,케이터링-레귤러,한식,0.8,2,35,50
S2W,2,17,매콤숯불닭갈비,케이터링-레귤러,한식,0.8,1,35,50
S2W,3,16,간장제육볶음,케이터링-레귤러,한식,0.3,1,35,50
S2W,4,20,일본식소고기볶음,케이터링-레귤러,일식,0.1,1,35,50
S2W,0,8,오리훈제주물럭,케이터링-레귤러,한식,0.6,1,35,50
